date, open, high, low, closing, swap
2011/07/28,77.93,78.03,77.62,77.66,3
2011/07/29,77.7,77.88,76.89,76.95,3
2011/08/01,77.34,78.06,76.28,77.2,3
2011/08/02,77.5,77.83,76.96,77.14,4
2011/08/03,77.34,77.41,76.78,76.98,16
2011/08/04,77.05,80.24,76.95,78.84,4
2011/08/05,79.18,79.44,78.31,78.49,9
2011/08/08,78.2,78.48,77.5,77.72,15
2011/08/09,77.84,77.86,76.7,76.95,8
2011/08/10,77.26,77.32,76.34,76.87,32
2011/08/11,76.83,77.26,76.3,76.84,7
2011/08/12,76.89,77.03,76.52,76.82,4
2011/08/15,76.89,77.1,76.59,76.83,3
2011/08/16,76.82,76.94,76.65,76.77,3
2011/08/17,76.81,76.84,76.41,76.55,17
2011/08/18,76.58,76.72,76.45,76.62,5
2011/08/19,76.54,76.98,75.93,76.49,4
2011/08/22,76.76,77.22,76.55,76.82,2
2011/08/23,76.84,76.95,76.47,76.68,2
2011/08/24,76.71,77.08,76.45,76.99,4
2011/08/25,76.97,77.71,76.84,77.45,2
2011/08/26,77.48,77.52,76.5,76.7,2
2011/08/29,76.7,77.02,76.57,76.84,1
2011/08/30,76.85,76.99,76.59,76.72,1
2011/08/31,76.73,76.84,76.42,76.66,5
2011/09/01,76.69,77.25,76.66,76.92,
2011/09/02,76.94,76.97,76.47,76.82,3
2011/09/05,76.93,76.98,76.69,76.89,2
2011/09/06,76.95,77.74,76.72,77.68,2
2011/09/07,77.57,77.72,77.06,77.26,4
2011/09/08,77.24,77.61,77.14,77.5,1
2011/09/09,77.53,77.86,77.1,77.49,5
2011/09/12,77.57,77.59,76.75,77.17,4
2011/09/13,77.15,77.25,76.8,76.92,4
2011/09/14,76.93,77.07,76.59,76.65,29
2011/09/15,76.72,77.36,76.56,76.72,4
2011/09/16,76.76,76.98,76.67,76.85,
2011/09/19,76.95,76.99,76.32,76.61,7
2011/09/20,76.58,76.77,76.35,76.46,29
2011/09/21,76.48,76.77,76.11,76.5,5
2011/09/22,76.47,76.98,76.1,76.22,
2011/09/23,76.31,76.9,76.15,76.62,5
2011/09/26,76.58,76.77,76.22,76.37,5
2011/09/27,76.38,76.94,76.26,76.8,5
2011/09/28,76.76,76.87,76.34,76.57,56
2011/09/29,76.56,77.03,76.42,76.83,5
2011/09/30,76.81,77.2,76.49,77.14,4
2011/10/03,77.15,77.27,76.52,76.65,4
2011/10/04,76.6,76.99,76.54,76.82,3
2011/10/05,76.88,77.08,76.62,76.78,18
2011/10/06,76.8,76.85,76.56,76.71,4
2011/10/07,76.69,77,76.59,76.86,
2011/10/10,76.8,76.85,76.57,76.68,4
2011/10/11,76.7,76.76,76.6,76.66,6
2011/10/12,76.67,77.49,76.31,77.26,14
2011/10/13,77.27,77.3,76.68,76.88,3
2011/10/14,76.88,77.46,76.85,77.22,3
2011/10/17,77.19,77.46,76.6,76.84,6
2011/10/18,76.86,76.91,76.62,76.82,4
2011/10/19,76.8,76.86,76.66,76.8,13
2011/10/20,76.82,77.09,76.68,76.83,5
2011/10/21,76.85,76.92,75.79,76.13,5
2011/10/24,76.28,76.49,75.99,76.11,4
2011/10/25,76.13,76.31,75.73,76.08,3
2011/10/26,76.08,76.33,75.71,76.18,11
2011/10/27,76.27,76.3,75.66,75.92,3
2011/10/28,75.99,76.01,75.68,75.75,4
2011/10/31,75.77,79.54,75.55,78.17,21
2011/11/01,78.19,79.02,78.01,78.31,63
2011/11/02,78.37,78.42,77.94,78.06,
2011/11/03,78.07,78.17,77.89,78.06,7
2011/11/04,78.04,78.27,77.98,78.22,6
2011/11/07,78.18,78.19,77.98,78.05,6
2011/11/08,78.09,78.1,77.59,77.71,11
2011/11/09,77.74,77.89,77.54,77.8,
2011/11/10,77.76,77.87,77.51,77.64,6
2011/11/11,77.65,77.69,77.05,77.12,4
2011/11/14,77.23,77.25,76.81,77.07,5
2011/11/15,77.1,77.51,76.9,77.04,6
2011/11/16,77.05,77.15,76.85,77.07,17
2011/11/17,77.03,77.09,76.91,76.99,5
2011/11/18,77,77.03,76.57,76.91,24
2011/11/21,76.9,77,76.76,76.92,
2011/11/22,76.92,77.33,76.84,76.96,
2011/11/23,76.99,77.59,76.92,77.33,16
2011/11/24,77.29,77.34,77.01,77.13,5
2011/11/25,77.13,77.8,77.12,77.74,7
2011/11/28,77.62,78.24,77.45,77.99,7
2011/11/29,78.06,78.29,77.62,77.92,7
2011/11/30,77.94,78.16,77.29,77.6,17
2011/12/01,77.6,77.81,77.48,77.69,7
2011/12/02,77.74,78.07,77.71,77.98,9
2011/12/05,78.03,78.12,77.69,77.85,6
2011/12/06,77.85,77.86,77.63,77.74,5
2011/12/07,77.74,77.79,77.62,77.67,16
2011/12/08,77.65,77.79,77.12,77.66,5
2011/12/09,77.63,77.79,77.49,77.51,5
2011/12/12,77.62,78,77.56,77.92,5
2011/12/13,77.94,78.02,77.64,77.98,5
2011/12/14,77.98,78.16,77.92,78.05,16
2011/12/15,78.07,78.14,77.74,77.87,4
2011/12/16,77.91,77.96,77.62,77.81,4
2011/12/19,77.8,78.17,77.73,78.04,5
2011/12/20,78.03,78.06,77.71,77.86,34
2011/12/21,77.85,78.12,77.69,78.09,
2011/12/22,78.06,78.21,78,78.17,
2011/12/23,78.17,78.23,78,78.06,-4
2011/12/26,78.09,78.11,77.95,77.99,1
2011/12/27,78.01,78.04,77.79,77.85,-2
2011/12/28,77.87,78.04,77.56,77.94,19
2011/12/29,77.94,77.96,77.6,77.62,1
2011/12/30,77.63,77.75,76.9,76.98,
2012/01/02,,,,,
2012/01/03,76.89,76.97,76.62,76.73,
2012/01/04,76.73,76.84,76.61,76.72,13
2012/01/05,76.77,77.25,76.67,77.12,2
2012/01/06,77.11,77.34,76.97,76.99,
2012/01/09,76.94,77.01,76.77,76.85,
2012/01/10,76.87,76.91,76.77,76.86,2
2012/01/11,76.84,77.05,76.83,76.88,15
2012/01/12,76.88,76.98,76.67,76.77,
2012/01/13,76.81,77.01,76.66,76.95,2
2012/01/16,76.97,76.97,76.7,76.78,1
2012/01/17,76.78,76.89,76.55,76.82,1
2012/01/18,76.83,76.87,76.65,76.81,7
2012/01/19,76.8,77.32,76.7,77.1,1
2012/01/20,77.12,77.31,76.92,76.97,1
2012/01/23,77.02,77.09,76.86,77.03,1
2012/01/24,76.98,77.86,76.96,77.68,1
2012/01/25,77.69,78.28,77.56,77.8,5
2012/01/26,77.73,77.81,77.29,77.44,
2012/01/27,77.47,77.49,76.65,76.69,1
2012/01/30,76.72,76.78,76.22,76.33,1
2012/01/31,76.39,76.42,76.16,76.26,-1
2012/02/01,76.29,76.35,76.02,76.21,2
2012/02/02,76.19,76.25,76.04,76.22,-2
2012/02/03,76.2,76.74,76.14,76.57,-1
2012/02/06,76.59,76.8,76.49,76.54,
2012/02/07,76.58,76.97,76.52,76.78,-1
2012/02/08,76.81,77.18,76.71,77.05,5
2012/02/09,77.08,77.73,77.03,77.65,1
2012/02/10,77.66,77.81,77.52,77.63,2
2012/02/13,77.65,77.78,77.39,77.59,2
2012/02/14,77.6,78.55,77.36,78.43,2
2012/02/15,78.43,78.67,78.18,78.45,13
2012/02/16,78.38,78.97,78.36,78.95,
2012/02/17,78.89,79.51,78.79,79.48,2
2012/02/20,79.67,79.9,79.36,79.66,3
2012/02/21,79.64,79.85,79.54,79.74,3
2012/02/22,79.73,80.41,79.72,80.31,12
2012/02/23,80.28,80.35,79.85,79.97,3
2012/02/24,79.97,81.01,79.93,81,3
2012/02/27,81.48,81.68,80.13,80.63,4
2012/02/28,80.45,80.79,80.01,80.44,3
2012/02/29,80.5,81.32,80.25,81.16,12
2012/03/01,81.31,81.4,80.83,81.11,3
2012/03/02,81.13,81.88,81.09,81.81,4
2012/03/05,81.77,81.87,81.15,81.54,3
2012/03/06,81.53,81.59,80.59,80.88,4
2012/03/07,80.83,81.23,80.58,81.09,16
2012/03/08,81.15,81.73,81.09,81.6,3
2012/03/09,81.57,82.65,81.46,82.4,3
2012/03/12,82.51,82.53,82.11,82.26,4
2012/03/13,82.32,83.09,81.96,82.91,3
2012/03/14,82.91,83.83,82.87,83.78,12
2012/03/15,83.71,84.18,83.19,83.57,9
2012/03/16,83.54,83.95,83.18,83.39,4
2012/03/19,83.41,83.58,83.01,83.35,
2012/03/20,83.38,83.84,83.33,83.69,2
2012/03/21,83.74,84.1,83.29,83.39,18
2012/03/22,83.4,83.48,82.33,82.54,4
2012/03/23,82.59,82.96,81.97,82.41,3
